Timestamp,Autonomous System Number,Total Routes,New Routes,Withdrawals,Origin Changes,Route Changes,Maximum Path Length,Average Path Length,Maximum Edit Distance,Average Edit Distance,Announcements,Unique Prefixes Announced,Graph Average Degree,Graph Betweenness Centrality,Graph Closeness Centrality,Graph Eigenvector Centrality
2024-09-25 06:14:25,3356,0,29456,0,0,0,0,0.0,0,0.0,67209,0,0.0,0.0,0.0,0.0
2024-09-25 06:15:25,3356,874,109620,0,0,0,0,0.0,0,0.0,152712,874,2.0,0.21666666666666667,0.5555555555555556,0.39027344048232143
2024-09-25 06:16:25,3356,1,80562,0,0,2,4,4.0,3,3.0,125160,1,1.5,0.3333333333333333,0.625,0.48662453289435065
2024-09-25 06:17:25,3356,1,30328,0,0,0,0,0.0,0,0.0,80788,1,1.3333333333333333,0.3333333333333333,0.7777777777777777,0.5690356063072538
2024-09-25 06:18:25,3356,0,23095,0,0,0,0,0.0,0,0.0,65382,0,0.0,0.0,0.0,0.0
2024-09-25 06:19:25,3356,10,33716,0,0,0,0,0.0,0,0.0,82239,10,1.6,0.3333333333333333,0.5219047619047619,0.4309402868986417
2024-09-25 06:20:25,3356,58,155159,0,0,27,3,0.5172413793103449,2,0.3103448275862069,215702,58,2.0,0.2333333333333333,0.6107936507936508,0.4190333475209709
2024-09-25 06:21:25,3356,1,43162,0,0,0,3,3.0,0,0.0,89420,1,1.3333333333333333,0.3333333333333333,0.7777777777777777,0.5690356063072538
2024-09-25 06:22:25,3356,1,31753,0,0,0,3,3.0,0,0.0,72501,1,1.3333333333333333,0.3333333333333333,0.7777777777777777,0.5690356063072538
2024-09-25 06:23:25,3356,5,25254,0,0,1,3,0.6,0,0.0,65011,5,1.6666666666666667,0.3333333333333333,0.4478114478114478,0.39031621600916017
2024-09-25 06:24:25,3356,1,16740,0,0,0,3,3.0,0,0.0,47439,1,1.3333333333333333,0.3333333333333333,0.7777777777777777,0.5690356063072538
2024-09-25 06:25:25,3356,1,23995,0,0,0,0,0.0,0,0.0,57855,1,1.3333333333333333,0.3333333333333333,0.7777777777777777,0.5690356063072538
2024-09-25 06:26:25,3356,1,22323,0,0,0,3,3.0,0,0.0,57114,1,1.3333333333333333,0.3333333333333333,0.7777777777777777,0.5690356063072538
2024-09-25 06:27:25,3356,1,17333,0,0,0,3,3.0,0,0.0,49377,1,1.3333333333333333,0.3333333333333333,0.7777777777777777,0.5690356063072538
2024-09-25 06:28:25,3356,2,16007,0,0,0,3,1.5,0,0.0,45411,2,1.3333333333333333,0.3333333333333333,0.7777777777777777,0.5690356063072538
2024-09-25 06:29:25,3356,59,39711,0,0,0,3,0.1016949152542373,0,0.0,77832,59,1.7142857142857142,0.2571428571428571,0.4607843137254902,0.349927215853377
2024-09-25 06:30:25,3356,9,42140,0,0,18,4,4.0,2,2.0,86681,9,1.5,0.3333333333333333,0.625,0.48662453289435065
2024-09-25 06:31:25,3356,1,29426,0,0,0,0,0.0,0,0.0,74101,1,1.3333333333333333,0.3333333333333333,0.7777777777777777,0.5690356063072538
2024-09-25 06:32:25,3356,16,32329,0,0,0,3,0.1875,0,0.0,83245,16,1.6,0.3333333333333333,0.5219047619047619,0.4309402868986417
2024-09-25 06:33:25,3356,859,77366,0,0,2,4,0.004656577415599534,2,0.002328288707799767,117444,859,2.6153846153846154,0.11305361305361306,0.4535505079425675,0.2450515899009319
2024-09-25 06:34:25,3356,248,59609,0,0,485,7,5.850806451612903,4,3.8870967741935485,97186,248,2.5,0.12575757575757573,0.4499356039633023,0.2628916395724786
2024-09-25 06:35:25,3356,201,87628,0,0,0,3,0.014925373134328358,0,0.0,126405,201,2.0,0.19393939393939394,0.37550789131816803,0.28493907834132126
2024-09-25 06:36:25,3356,103,50561,0,0,2,7,0.06796116504854369,5,0.04854368932038835,90029,103,2.2,0.18333333333333335,0.4150205243840828,0.29591625060021365
2024-09-25 06:37:25,3356,309,60054,0,0,3,3,0.009708737864077669,5,0.016181229773462782,98133,309,2.0,0.19545454545454546,0.35094051755757666,0.2686062643979788
2024-09-25 06:38:25,3356,62,21921,0,0,0,0,0.0,0,0.0,43099,62,1.75,0.3333333333333333,0.3486426767676768,0.3341840427884324
